numero,question,expected_tools,missing_counts,extra_counts,called_counts,suggestion
1,"Considerando que os pés de café da Fazenda NSAAB estão em período de florada ou pré-florada, as condições climáticas de hoje favorecem a polinização e o pegamento das flores, levando em conta velocidade do vento, direção do vento, rajadas, temperatura do ar, umidade relativa do ar e possibilidade de chuva nas próximas horas?",smart_soil_data|smart_wind_speed|smart_wind_direction|smart_wind_gust|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_soil_data:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_current_weather:4|smart_air_pressure:4,smart_air_temperature:4|smart_air_current_weather:4|smart_air_humidity:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4|smart_air_pressure:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
2,"Para os próximos três dias, o cenário hídrico e climático da Fazenda NSAAB indica estabilidade para a lavoura de café ou exige alguma intervenção com irrigação por gotejamento, considerando umidade do solo, temperatura do solo, temperatura do ar, direção do vento, radiação solar e previsão de chuva?",smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_wind_direction|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
3,"Hoje é necessário irrigar os pés de café por gotejamento ou é mais prudente aguardar a chuva prevista, considerando a umidade atual do solo, temperatura do solo, temperatura do ar, umidade relativa do ar, radiação solar e previsão de chuva para as próximas 24 horas?",smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
5,A chuva prevista para os próximos três dias é suficiente para substituir a irrigação por gotejamento ou ainda existe risco de déficit hídrico localizado na zona radicular do cafeeiro?,smart_soil_data|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
14,"As rajadas de vento registradas nas últimas 24 horas indicam risco operacional para manejo, pulverização ou avaliação da florada no café?",smart_radiation_solar|smart_wind_gust|smart_wind_current_weather|smart_wind_speed|smart_wind_direction|smart_air_humidity,smart_radiation_solar:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_current_weather:4|smart_air_temperature:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4|smart_air_current_weather:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_gust:4|smart_air_temperature:4|smart_wind_direction:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
15,"A direção predominante do vento hoje pode comprometer alguma operação agrícola na Fazenda NSAAB, especialmente pulverização, inspeção da florada ou manejo próximo a áreas sensíveis?",smart_radiation_solar|smart_wind_direction|smart_wind_gust|smart_wind_current_weather|smart_wind_speed|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4|smart_air_current_weather:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_gust:4|smart_air_temperature:4|smart_wind_direction:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
17,"A previsão de vento dos próximos três dias pode afetar polinização, aplicação foliar, pulverização ou trabalho manual na lavoura de café?",smart_radiation_solar|smart_wind_speed|smart_wind_gust|smart_wind_forecast|smart_wind_current_weather|smart_wind_direction|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4|smart_wind_current_weather:4,smart_air_temperature:4|smart_rain_accumulated:4|smart_rain_forecast:4,smart_air_temperature:4|smart_air_current_weather:4|smart_air_humidity:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
20,"A combinação de radiação solar, temperatura do ar e umidade relativa indica risco de estresse térmico para os pés de café hoje?",smart_soil_data|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,,smart_soil_data:4|smart_air_temperature:4|smart_air_current_weather:4|smart_air_humidity:4|smart_radiation_solar:4,Contrato de ferramentas esta aderente nos CSVs analisados.
22,"A condição atual favorece perda de água pela planta e pelo solo, considerando temperatura, umidade relativa, radiação solar, vento e umidade do solo?",smart_soil_data|smart_radiation_solar|smart_wind_speed|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_air_temperature:4|smart_air_humidity:4|smart_air_current_weather:4,smart_wind_current_weather:4,smart_soil_data:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_radiation_solar:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
24,A chuva das últimas 24 horas melhorou a umidade do solo o suficiente para suspender a irrigação por gotejamento hoje?,smart_soil_data|smart_rain_accumulated|smart_radiation_solar|smart_air_humidity,,smart_air_current_weather:4|smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
25,"Existe risco de excesso de água no solo nos próximos três dias, considerando chuva recente, chuva prevista, umidade atual do solo e uso de irrigação por gotejamento?",smart_soil_data|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
27,"Para hoje, a melhor decisão agronômica é irrigar por gotejamento, aguardar chuva, apenas monitorar ou adiar qualquer intervenção?",smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
28,"As condições climáticas de hoje permitem trabalho de campo com segurança e eficiência, considerando chuva, vento, temperatura, umidade relativa e radiação solar?",smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_wind_speed|smart_wind_gust|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_soil_data:4|smart_wind_gust:4|smart_air_temperature:4,smart_air_pressure:4|smart_rain_accumulated:4|smart_wind_current_weather:4,smart_air_humidity:4|smart_air_current_weather:4|smart_air_pressure:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_radiation_solar:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
30,"Qual é o resumo agronômico das próximas 72 horas para a Fazenda NSAAB, com foco em irrigação por gotejamento, risco de chuva, vento, estresse térmico e fase fenológica do cafeeiro?",smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_wind_speed|smart_wind_gust|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_wind_current_weather:4|smart_wind_direction:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
33,"Há risco de perda rápida de umidade no bulbo molhado do gotejamento hoje, considerando temperatura do solo, temperatura do ar, radiação solar e vento?",smart_soil_data|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
34,A lavoura de café pode ficar 48 horas sem irrigação por gotejamento sem comprometer a fase atual de desenvolvimento?,smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
35,Existe risco de encharcamento localizado ou baixa aeração do solo em áreas mais baixas da Fazenda NSAAB se a chuva prevista ocorrer junto com irrigação por gotejamento?,smart_soil_data|smart_rain_accumulated|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
36,O vento previsto para hoje compromete a uniformidade de pulverização nos cafeeiros e aumenta o risco de perda de produto?,smart_radiation_solar|smart_wind_gust|smart_wind_current_weather|smart_wind_speed|smart_wind_direction|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4|smart_air_humidity:4|smart_air_current_weather:4,,smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria.
40,"Se a umidade do solo estiver em queda, é melhor irrigar por gotejamento pela manhã ou no fim da tarde, considerando temperatura, vento, umidade relativa e chance de chuva?",smart_soil_data|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
43,A diferença entre temperatura do solo e temperatura do ar indica algum desequilíbrio que mereça atenção no manejo do cafeeiro?,smart_soil_data|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4,smart_rain_accumulated:4|smart_rain_forecast:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4|smart_air_current_weather:4|smart_soil_data:4|smart_air_temperature:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
45,"A lavoura está em condição de atenção por calor hoje, considerando temperatura máxima, umidade relativa mínima, radiação solar e umidade do solo?",smart_soil_data|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,,,smart_soil_data:4|smart_air_temperature:4|smart_air_current_weather:4|smart_air_humidity:4|smart_radiation_solar:4,Contrato de ferramentas esta aderente nos CSVs analisados.
46,A previsão de chuva dos próximos sete dias permite reduzir a frequência de irrigação por gotejamento sem comprometer a lavoura?,smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
47,A baixa previsão de chuva para os próximos dias aumenta o risco de estresse hídrico e exige planejamento antecipado de irrigação?,smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4|smart_air_temperature:4,smart_rain_accumulated:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
50,Existe hoje uma janela mais eficiente para irrigação por gotejamento com menor perda por evaporação e melhor aproveitamento pela lavoura?,smart_soil_data|smart_radiation_solar|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
61,A previsão das próximas 72 horas favorece a manutenção da florada ou exige cuidado especial com irrigação e vento?,smart_soil_data|smart_wind_gust|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
62,"A lavoura está em condição adequada para receber adubação, considerando umidade do solo, previsão de chuva, risco de vento e possibilidade de fertirrigação pelo gotejamento?",smart_soil_data|smart_rain_forecast|smart_air_humidity|smart_air_current_weather,,smart_rain_accumulated:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_forecast:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
65,A condição de vento hoje permite aplicação foliar nos pés de café sem risco elevado de deriva?,smart_radiation_solar|smart_wind_speed|smart_wind_direction|smart_wind_gust|smart_wind_current_weather|smart_air_humidity|smart_air_current_weather,smart_radiation_solar:4|smart_air_humidity:4|smart_air_current_weather:4,,smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria.
80,A radiação solar e a umidade do ar de hoje favorecem a secagem natural dos grãos ou o risco de chuva ainda limita essa operação?,smart_soil_data|smart_rain_forecast|smart_radiation_solar|smart_air_temperature|smart_air_humidity|smart_air_current_weather,smart_soil_data:4|smart_air_temperature:4,smart_rain_accumulated:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_gust:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4|smart_air_current_weather:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_gust:4|smart_radiation_solar:4,Verificar se expected_tools esta amplo demais ou se a API deixou de chamar ferramenta obrigatoria. Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
84,A umidade atual do solo indica risco de compactação se houver entrada de máquinas na área irrigada por gotejamento?,smart_soil_data,,smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,smart_soil_data:4|smart_air_humidity:4|smart_air_current_weather:4|smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_temperature:4|smart_radiation_solar:4|smart_wind_speed:4|smart_wind_current_weather:4|smart_wind_direction:4|smart_wind_gust:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
87,O aumento da pressão atmosférica indica melhora no tempo para amanhã e pode abrir uma janela de manejo?,smart_air_pressure|smart_air_current_weather,,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4,smart_rain_accumulated:4|smart_rain_forecast:4|smart_air_humidity:4|smart_air_current_weather:4|smart_air_pressure:4,Classificar cada extra como optional_tools ou corrigir roteador para nao chamar.
